title,currency,properties,neighborhood,title-2,title-3,price_dop
Casa en venta Residencial Mirador del Este cerca de la avenida Ecológica.,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""285"", ""terrain_square_meters"": ""264""}",,Santo Domingo Este,Santo Domingo,15000000.0
alquiler de oficina plaza central,DOP,"{""property_type"": ""Amueblado"", ""offices_quantity"": ""17"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""8"", ""terrain_square_meters"": ""200""}","Piantinis, plaza central",Distrito Nacional,Santo Domingo,250.0
Casa / Solar en Ensanche Ozama,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""230"", ""terrain_square_meters"": ""602""}",Ensanche Ozama,Santo Domingo Este,Santo Domingo,16133600.0
"Apartamento en la mejor zona de Evaristo Morales, en Torre con vista panorámica ",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""193"", ""mini_bathrooms_quantity"": ""0""}",Evaristo Morales,Distrito Nacional,Santo Domingo,12890166.0
Apartamentos Av. Los Beisbolistas ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""106"", ""mini_bathrooms_quantity"": ""1""}",Brisa del Este,Santo Domingo Este,Santo Domingo,5324199.0
Vendo Apartamento Cocotal Bávaro,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""112"", ""mini_bathrooms_quantity"": ""1""}",Avenida España ,Bávaro/Punta Cana,La Altagracia,7565967.0
Apartamento en Venta,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 92, ""mini_bathrooms_quantity"": 1}",Zona sur Santiago,Santiago de los Caballeros,Santiago,6164862.0
Apartamento Av. Los Beisbolistas ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 106, ""mini_bathrooms_quantity"": 1}",Brisa del Este,Santo Domingo Este,Santo Domingo,5324199.0
Unidades disponibles. Punta Cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 100, ""mini_bathrooms_quantity"": 1}",,Otras ciudades,Santiago,5324199.0
Villas en Punta Cana ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""240"", ""terrain_square_meters"": ""366"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,6445083.0
"Apartamentos De Bajo Costo 1,2,3 Y 4 nivel aplica Bono Vivienda",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""84""}",,San Cristóbal,San Cristóbal,3650000.0
VENDO!! SOLAR de 250 Metros de Oportunidad en Villa España,DOP,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""250""}",,San Pedro de Macorís,San Pedro de Macorís,285000.0
"Vendo Apartamento 4to 
piso en Alma Rosa ",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""178"", ""mini_bathrooms_quantity"": ""1""}",Alma Rosa,Santo Domingo Este,Santo Domingo,6550000.0
Piantini exquisito amueblado alquiler ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""190"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,70055.25
"Villa vacacional a 5 minutos de la playa
",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""5"", ""build_square_meters"": ""7""}",Sabana Grande De Palenque Rural,Otras ciudades,San Cristóbal,16813.26
"Vendo Hermosa y amplia casa de 2 niveles, Mirador Del Este, Santo Domingo Este",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""5"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""270"", ""terrain_square_meters"": ""370"", ""mini_bathrooms_quantity"": ""1""}",,Santo Domingo Este,Santo Domingo,16813260.0
" SOLAR DE 4000MT2, CON NAVE DE 600MT2 Y OFICINA",DOP,"{""property_type"": ""Comercial"", ""terrain_square_meters"": 4000}",AV. MONUMENTAL,Distrito Nacional,Santo Domingo,100000.0
"FINCA EN VENTA DE OPORTUNIDAD EN EL TAMARINDO, SANTO DOMINGO ESTE.",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""300"", ""terrain_square_meters"": ""19289"", ""mini_bathrooms_quantity"": ""2""}",El Tamarindo,Santo Domingo Este,Santo Domingo,3500.0
"Apartamento en Torre de Evaristo Morales, con tan sólo 5 años de construido",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""160"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,10087956.0
Proyecto en punta cana,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""En planos"", ""build_square_meters"": 140, ""mini_bathrooms_quantity"": 1}",,Otras ciudades,La Romana,7846188.0
"Vendo Preciosa Casa de 3 Niveles,
Prado Oriental, Santo Domingo Este",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""350"", ""terrain_square_meters"": ""400"", ""mini_bathrooms_quantity"": ""1""}",Prado Oriental,Santo Domingo Este,Santo Domingo,12500000.0
4to piso Con Estudio Y Ascensor En El Millón (nuevo),USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""132"", ""mini_bathrooms_quantity"": ""1""}",El Millón,Distrito Nacional,Santo Domingo,10368177.0
Villa en sector Jarabacoa  6 habitaciones 7 parqueos ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""6"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""350"", ""terrain_square_meters"": ""935"", ""mini_bathrooms_quantity"": ""1""}",Buena Vista,Jarabacoa,La Vega,14571492.0
torre Sabatini,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""101"", ""mini_bathrooms_quantity"": ""1""}",,Santiago de los Caballeros,Santiago,10278506.28
Rento Apartamento por Noche,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""1223"", ""mini_bathrooms_quantity"": ""1""}",Avenida España ,Bávaro/Punta Cana,La Altagracia,2746.17
"LA CASA DE TUS SUEÑOS: INSPIRACIÓN ARQUITECTÓNICA, CASA RICKY MARTIN PR.",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""680""}",Los Tres Ojos,Santo Domingo Este,Santo Domingo,22417680.0
"Torre en venta en bella vista US225,000.00",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""220"", ""mini_bathrooms_quantity"": ""5""}",Bella vista ,Distrito Nacional,Santo Domingo,12609.95
Apartamento Amueblado en Naco,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""304"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,78508.64
Apartamento en Renacimiento 8vo piso 232mts ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 232, ""mini_bathrooms_quantity"": 1}",Renacimiento,Distrito Nacional,Santo Domingo,12890166.0
Precioso apartamento con piscina,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""360"", ""mini_bathrooms_quantity"": ""1""}","Piantini
",Distrito Nacional,Santo Domingo,380000.0
"Palmas at Vista Cana, Punta Cana (Villas)",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""118"", ""terrain_square_meters"": ""196"", ""mini_bathrooms_quantity"": ""1""}",Otro,Bávaro/Punta Cana,La Altagracia,9527514.0
"Vendo Casa Estilo Tradicional de 2 Niveles con Piscina, Santo Domingo Este",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""5"", ""bathrooms_quantity"": ""7"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""1125"", ""mini_bathrooms_quantity"": ""2""}",Prado Oriental,Santo Domingo Este,Santo Domingo,24659448.0
Apartamento en venta en Evaristo Morales,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""115"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,5700000.0
Casas un nivel en Residencial el Edén Km 3 1/2 SAN CRISTÓBAL,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""build_square_meters"": 0}",Canastica O Paraíso,San Cristóbal,San Cristóbal,360.0
"Apartamento 2 h, 1er piso, San Carlos/Parque Independencia NEGOCIABLE",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""70""}",San Carlos,Distrito Nacional,Santo Domingo,2600000.0
La Esperilla – Local Comercial en moderna torre corporativa!!,USD,"{""property_type"": ""Sin Amueblar"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""51""}",La Esperilla,Distrito Nacional,Santo Domingo,10360000.0
Preciosa casa con piscina .,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""700"", ""terrain_square_meters"": ""835"", ""mini_bathrooms_quantity"": ""1""}",Llanos de gurabo ,Santiago de los Caballeros,Santiago,17000000.0
Local en alquiler en la Rómulo Betancourt Bella Vista,DOP,"{""property_type"": ""Sin Amueblar"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""27""}",Bella Vista,Distrito Nacional,Santo Domingo,43500.0
Vendo Lujoso Apartamento ideal para invertir en Naco ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""65"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Naco,Distrito Nacional,Santo Domingo,8126409.0
" Casa, sector El Claret Arroyo Hondo, 484 m2, RD$14,000,000",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""195"", ""terrain_square_meters"": ""484""}",Claret,Distrito Nacional,Santo Domingo,14000000.0
Casa en venta en Urb. Fernandez,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""261"", ""terrain_square_meters"": ""261"", ""mini_bathrooms_quantity"": ""1""}",Urbanización Fernández,Distrito Nacional,Santo Domingo,11500000.0
Casa en Venta de 4 Habitaciones Ciudad Modelo,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""240"", ""terrain_square_meters"": ""276"", ""mini_bathrooms_quantity"": ""1""}",,Santo Domingo Norte,Santo Domingo,12834121.8
APARTAMENTOS EN VENTA EN LA AUTOPISTA DUARTE,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""73""}",,Otras ciudades,Santo Domingo,2673339.24
Vendo Apartamento 3 Habitaciones en Colinas de Los Ríos ,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""167"", ""mini_bathrooms_quantity"": ""1""}",,Santo Domingo Oeste,Santo Domingo,5948000.0
APARTAMENTO de 2 habitaciones en MARBELLA,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""120""}",Otro,Juan Dolio,San Pedro de Macorís,14851713.0
De oportunidad! Se vende amplio y hermoso apartamento tipo penthouse,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""241"", ""mini_bathrooms_quantity"": ""1""}",,Santiago de los Caballeros,Santiago,11769282.0
Apartamento en alquiler Los Cacicazgos,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""320"", ""mini_bathrooms_quantity"": ""1""}",Los Cacicazgos ,Distrito Nacional,Santo Domingo,168132.6
Local Comercial En Alquiler En Naco,USD,"{""property_type"": ""Sin Amueblar"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""75""}",Ensanche Naco,Distrito Nacional,Santo Domingo,67253.04
Apartamento en Venta El Cacique,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""125"", ""mini_bathrooms_quantity"": ""1""}",El cacique ,Distrito Nacional,Santo Domingo,7061569.2
*VENTA* APARTAMENTOS OBRA NUEVA - CABARETE,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""100""}",Cabarete,Sosua,Puerto Plata,5604420.0
Se vende apartamento en zona exclusiva de Santiago,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""211"", ""mini_bathrooms_quantity"": ""2""}",,Santiago de los Caballeros,Santiago,8500000.0
Venta local comercial en el centro de La Romana,DOP,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": ""5"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""300"", ""terrain_square_meters"": ""457""}",Centro De La Ciudad,La Romana,La Romana,20000000.0
Busco apartamento en la independencia,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""1"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Independencia,Distrito Nacional,Santo Domingo,25000.0
Alquilo Estudio pequeño muy funcional,DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,14000.0
"Casa en Arroyo Hondo Viejo RD$ 9,800,000",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""336"", ""terrain_square_meters"": ""516""}",Viejo Arroyo Hondo,Distrito Nacional,Santo Domingo,9800000.0
VENTA DE APARTAMENTO EVARISTO MORALES,DOP,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""170"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,9500000.0
Proyecto sector Pantoja con Piscina ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""76""}",Km. 14,Santo Domingo Oeste,Santo Domingo,3222541.5
Casas en Arroyo Hondo Viejo,USD,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""895""}",Viejo Arroyo Hondo,Distrito Nacional,Santo Domingo,21969326.4
Casa en la Romana En Las orquídeas,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""315"", ""terrain_square_meters"": ""320"", ""mini_bathrooms_quantity"": ""1""}",Las orquídeas ,La Romana,La Romana,7500000.0
Vendo apartamento nuevo,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 90}",Proximo a la aut san isidro,Santo Domingo Este,Santo Domingo,3950000.0
Alquiler de local comercial en Bella Vista,USD,"{""property_type"": ""Sin Amueblar"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""35""}",Bella Vista,Distrito Nacional,Santo Domingo,44835.36
Vendo cama de caoba full con colchon,DOP,"{""building_condition"": ""Segundo uso""}",Bella Vista,Distrito Nacional,Santo Domingo,35000.0
Casa de 4 habitaciones en Punta Cana Village en venta,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""355"", ""terrain_square_meters"": ""653"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,22137459.0
"Apartamentos de RENTA.
3 apartamentos de 2 dormitorios. ",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""1000"", ""mini_bathrooms_quantity"": ""1""}",El Embrujo I,Santiago de los Caballeros,Santiago,20000.0
Casas disponibles en puerto plata separe 10%,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""170"", ""terrain_square_meters"": ""220"", ""mini_bathrooms_quantity"": ""1""}",Brugal,Puerto Plata,Puerto Plata,56.04
Penthouse En Venta De 2 Niveles En El Millón,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""448"", ""mini_bathrooms_quantity"": ""2""}",El Millón,Distrito Nacional,Santo Domingo,14011050.0
Vendo cama de posición mecánica ,DOP,"{""building_condition"": ""Segundo uso""}",Bella Vista,Distrito Nacional,Santo Domingo,15000.0
"BELLA VISTA, 2 HAB",DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""120""}",BELLA VISTA,Distrito Nacional,Santo Domingo,5200000.0
Nuevo proyecto,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""358"", ""mini_bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,7734.1
Apartamentos de 2 habitaciones en construcción en Villa Aura,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""102"", ""mini_bathrooms_quantity"": ""1""}",Villa Aura,Santo Domingo Oeste,Santo Domingo,4763757.0
Apartamentos de 3 habitaciones en nuevo y moderno proyecto en Villa Aura,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""159"", ""mini_bathrooms_quantity"": ""1""}",Villa Aura,Santo Domingo Oeste,Santo Domingo,6977502.9
VENDO Apartamento A Estrenar En Moderna Torre Del Evaristo,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""175"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,8686851.0
Apartamento nuevos en el Ens. Atala,DOP,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 1, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 51}",Átala,Distrito Nacional,Santo Domingo,81191.0
ALQ. NAVE CERCA DE CARREFUL DE 500 METROS 2 BAÑO 2.000 DOLARES,USD,"{""bathrooms_quantity"": ""2"", ""build_square_meters"": ""500"", ""terrain_square_meters"": ""800""}",ALQ. NAVE CERCA DE CARREFUL ,Santo Domingo Oeste,Santo Domingo,112088.4
Espectacular apartamento en bella vista sur en torre de lujo alquiler o venta,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""260"", ""mini_bathrooms_quantity"": ""1""}",Bella vista avenida sarasota ,Distrito Nacional,Santo Domingo,19055028.0
Casa en Moca,DOP,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""309"", ""terrain_square_meters"": ""609"", ""mini_bathrooms_quantity"": ""1""}",Moca residencial caroly,Santiago de los Caballeros,Santiago,13000000.0
Santo Domingo este a 7 minutos del aeropuerto de las americas,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En planos"", ""build_square_meters"": ""1"", ""mini_bathrooms_quantity"": ""1""}",Avenida hípica en las americas,Santo Domingo Este,Santo Domingo,3530.78
Apartamentos en La Zona Universitaria,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""55"", ""mini_bathrooms_quantity"": ""1""}",Zona universitaria,Distrito Nacional,Santo Domingo,5102936.5
Apartamentos ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""200"", ""mini_bathrooms_quantity"": ""1""}",Paraíso,Distrito Nacional,Santo Domingo,14515447.8
Casa próximo a la playa separe 10%,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""170"", ""terrain_square_meters"": ""600"", ""mini_bathrooms_quantity"": ""1""}",Brugal,Puerto Plata,Puerto Plata,9247293.0
Hermosa casa con vista al mar en complejo turístico ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""400"", ""terrain_square_meters"": ""3200"", ""mini_bathrooms_quantity"": ""1""}",Brugal,Puerto Plata,Puerto Plata,56.04
